feature,coefficient,abs_coefficient,direction
categorical__night_ratio_group_infrequent_sklearn,-0.10053108508362109,0.10053108508362109,decrease_risk
categorical__txn_velocity_group_high,0.09363157400245409,0.09363157400245409,increase_risk
categorical__auth_result_BIOMETRIC_FAIL,-0.09327398794297606,0.09327398794297606,decrease_risk
numeric__txn_count_7d,0.0931672475247043,0.0931672475247043,increase_risk
categorical__pin_verif_method_OFFLINE_PIN,-0.09311989505904593,0.09311989505904593,decrease_risk
categorical__term_location_MOBILE_APP,-0.09308994491976838,0.09308994491976838,decrease_risk
numeric__credit_util_today,-0.09304444941983382,0.09304444941983382,decrease_risk
categorical__merchant_country_PH,0.09248242289341448,0.09248242289341448,increase_risk
categorical__merchant_country_GB,-0.08964803336948149,0.08964803336948149,decrease_risk
categorical__payment_channel_POS_TERMINAL,-0.08959441221999984,0.08959441221999984,decrease_risk
categorical__currency_GBP,-0.08916756330716044,0.08916756330716044,decrease_risk
categorical__card_entry_mode_TOKEN_IN_APP,-0.08801254535656779,0.08801254535656779,decrease_risk
categorical__currency_CHF,0.0873616565889652,0.0873616565889652,increase_risk
categorical__merchant_country_CN,0.08624834675831383,0.08624834675831383,increase_risk
categorical__merchant_country_AU,-0.08486522450119333,0.08486522450119333,decrease_risk
categorical__auth_characteristics_FALLBACK_MAG,-0.08331139618112043,0.08331139618112043,decrease_risk
categorical__ip_score_risk_group_very_high,0.08161707910460893,0.08161707910460893,increase_risk
categorical__payment_channel_IVR_PHONE,-0.08119470680002037,0.08119470680002037,decrease_risk
categorical__auth_result_3DS_PASS,-0.07869195185686514,0.07869195185686514,decrease_risk
categorical__auth_result_AVS_PASS,0.07774863990437951,0.07774863990437951,increase_risk
categorical__term_location_WEARABLE_PAY,0.07515237684289158,0.07515237684289158,increase_risk
categorical__merchant_country_US,0.07345431606187762,0.07345431606187762,increase_risk
categorical__payment_channel_WEB_BROWSER,-0.06989286329628078,0.06989286329628078,decrease_risk
categorical__ip_score_risk_group_high,-0.06975022175385835,0.06975022175385835,decrease_risk
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,-0.06965620938376148,0.06965620938376148,decrease_risk
categorical__merchant_country_FR,0.06300223704402999,0.06300223704402999,increase_risk
categorical__day_name_Sunday,0.05972960566254997,0.05972960566254997,increase_risk
categorical__merchant_country_MY,0.05877274232438373,0.05877274232438373,increase_risk
